job_id,instance,size_class,method,epsilon,time_limit,output_file
Instance_7_4_2_2__DECOMP_EPS__eps_185,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,185,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_185.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_186,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,186,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_186.csv
Instance_7_4_2_2__LB_AP_EPS__eps_186,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,186,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_186.csv
Instance_7_4_2_2__DECOMP_EPS__eps_186,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,186,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_186.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_187,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,187,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_187.csv
Instance_7_4_2_2__LB_AP_EPS__eps_187,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,187,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_187.csv
Instance_7_4_2_2__DECOMP_EPS__eps_187,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,187,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_187.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_188,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,188,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_188.csv
Instance_7_4_2_2__LB_AP_EPS__eps_188,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,188,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_188.csv
Instance_7_4_2_2__DECOMP_EPS__eps_188,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,188,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_188.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_189,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,189,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_189.csv
Instance_7_4_2_2__LB_AP_EPS__eps_189,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,189,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_189.csv
Instance_7_4_2_2__DECOMP_EPS__eps_189,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,189,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_189.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_190,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,190,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_190.csv
Instance_7_4_2_2__LB_AP_EPS__eps_190,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,190,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_190.csv
Instance_7_4_2_2__DECOMP_EPS__eps_190,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,190,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_190.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_191,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,191,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_191.csv
Instance_7_4_2_2__LB_AP_EPS__eps_191,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,191,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_191.csv
Instance_7_4_2_2__DECOMP_EPS__eps_191,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,191,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_191.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_192,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,192,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_192.csv
Instance_7_4_2_2__LB_AP_EPS__eps_192,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,192,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_192.csv
Instance_7_4_2_2__DECOMP_EPS__eps_192,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,192,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_192.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_193,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,193,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_193.csv
Instance_7_4_2_2__LB_AP_EPS__eps_193,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,193,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_193.csv
Instance_7_4_2_2__DECOMP_EPS__eps_193,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,193,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_193.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_194,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,194,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_194.csv
Instance_7_4_2_2__LB_AP_EPS__eps_194,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,194,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_194.csv
Instance_7_4_2_2__DECOMP_EPS__eps_194,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,194,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_194.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_195,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,195,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_195.csv
Instance_7_4_2_2__LB_AP_EPS__eps_195,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,195,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_195.csv
Instance_7_4_2_2__DECOMP_EPS__eps_195,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,195,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_195.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_196,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,196,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_196.csv
Instance_7_4_2_2__LB_AP_EPS__eps_196,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,196,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_196.csv
Instance_7_4_2_2__DECOMP_EPS__eps_196,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,196,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_196.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_197,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,197,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_197.csv
Instance_7_4_2_2__LB_AP_EPS__eps_197,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,197,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_197.csv
Instance_7_4_2_2__DECOMP_EPS__eps_197,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,197,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_197.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_198,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,198,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_198.csv
Instance_7_4_2_2__LB_AP_EPS__eps_198,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,198,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_198.csv
Instance_7_4_2_2__DECOMP_EPS__eps_198,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,198,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_198.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_199,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,199,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_199.csv
Instance_7_4_2_2__LB_AP_EPS__eps_199,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,199,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_199.csv
Instance_7_4_2_2__DECOMP_EPS__eps_199,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,199,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_199.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_200,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,200,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_200.csv
Instance_7_4_2_2__LB_AP_EPS__eps_200,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,200,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_200.csv
Instance_7_4_2_2__DECOMP_EPS__eps_200,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,200,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_200.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_201,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,201,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_201.csv
Instance_7_4_2_2__LB_AP_EPS__eps_201,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,201,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_201.csv
Instance_7_4_2_2__DECOMP_EPS__eps_201,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,201,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_201.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_202,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,202,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_202.csv
Instance_7_4_2_2__LB_AP_EPS__eps_202,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,202,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_202.csv
Instance_7_4_2_2__DECOMP_EPS__eps_202,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,202,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_202.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_203,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,203,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_203.csv
Instance_7_4_2_2__LB_AP_EPS__eps_203,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,203,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_203.csv
Instance_7_4_2_2__DECOMP_EPS__eps_203,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,203,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_203.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_204,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,204,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_204.csv
Instance_7_4_2_2__LB_AP_EPS__eps_204,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,204,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_204.csv
Instance_7_4_2_2__DECOMP_EPS__eps_204,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,204,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_204.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_205,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,205,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_205.csv
Instance_7_4_2_2__LB_AP_EPS__eps_205,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,205,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_205.csv
Instance_7_4_2_2__DECOMP_EPS__eps_205,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,205,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_205.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_206,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,206,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_206.csv
Instance_7_4_2_2__LB_AP_EPS__eps_206,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,206,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_206.csv
Instance_7_4_2_2__DECOMP_EPS__eps_206,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,206,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_206.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_207,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,207,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_207.csv
Instance_7_4_2_2__LB_AP_EPS__eps_207,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,207,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_207.csv
Instance_7_4_2_2__DECOMP_EPS__eps_207,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,207,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_207.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_208,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,208,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_208.csv
Instance_7_4_2_2__LB_AP_EPS__eps_208,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,208,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_208.csv
Instance_7_4_2_2__DECOMP_EPS__eps_208,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,208,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_208.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_209,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,209,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_209.csv
Instance_7_4_2_2__LB_AP_EPS__eps_209,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,209,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_209.csv
Instance_7_4_2_2__DECOMP_EPS__eps_209,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,209,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_209.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_210,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,210,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_210.csv
Instance_7_4_2_2__LB_AP_EPS__eps_210,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,210,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_210.csv
Instance_7_4_2_2__DECOMP_EPS__eps_210,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,210,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_210.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_211,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,211,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_211.csv
Instance_7_4_2_2__LB_AP_EPS__eps_211,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,211,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_211.csv
Instance_7_4_2_2__DECOMP_EPS__eps_211,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,211,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_211.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_212,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,212,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_212.csv
Instance_7_4_2_2__LB_AP_EPS__eps_212,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,212,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_212.csv
Instance_7_4_2_2__DECOMP_EPS__eps_212,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,212,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_212.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_213,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,213,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_213.csv
Instance_7_4_2_2__LB_AP_EPS__eps_213,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,213,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_213.csv
Instance_7_4_2_2__DECOMP_EPS__eps_213,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,decomp_eps,213,3600.0,results/raw/Instance_7_4_2_2__DECOMP_EPS__eps_213.csv
Instance_7_4_2_2__CP_WWS_EPS__eps_214,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,cp_wws_eps,214,3600.0,results/raw/Instance_7_4_2_2__CP_WWS_EPS__eps_214.csv
Instance_7_4_2_2__LB_AP_EPS__eps_214,Instances/Tiny/Instance_7_4_2_2.txt,Tiny,lb_ap_eps,214,3600.0,results/raw/Instance_7_4_2_2__LB_AP_EPS__eps_214.csv
